x,y,z,role_id
-12.031989,28.237455,-9.088736,6
-7.696108,31.671463,-20.485876,6
-12.79454,30.34017,-10.610647,6
-7.696108,31.671463,-20.485876,6
-18.781578,21.520136,10.718849,6
-7.696108,31.671463,-20.485876,6
-2.3500123,24.735456,-27.85693,6
-14.331369,28.1142,-10.518969,6
-2.3500123,24.735456,-27.85693,6
5.3965993,33.08532,-20.1797,6
-2.3500123,24.735456,-27.85693,6
3.867851,21.300926,-36.864372,6
9.938589,-21.812092,-2.2866635,7
16.164865,-21.733465,-6.3005733,7
11.574648,-11.558911,1.5695586,7
12.059731,-20.864447,0.44503415,7
10.134352,-17.037548,-1.8987098,7
8.612061,-21.67238,1.5223185,7
18.83548,-14.103419,5.202108,7
12.97889,-16.750723,1.9163506,7
-3.9756684,-16.658092,-0.35161817,7
4.0186644,-18.906034,2.6587641,7
12.533543,-17.832487,1.3408073,7
9.616158,-18.366295,-1.9761219,7
21.609777,-21.218544,-3.1576927,7
9.896267,-15.66016,1.3491516,7
11.540904,-6.1651936,-9.607453,7
16.761951,-21.910568,-4.922932,7
4.9655514,-18.51154,0.8929863,7
16.385496,-18.256279,-9.223167,7
16.91656,-21.635986,-2.2438483,7
6.3751774,-20.969854,-0.86984515,7
9.161045,-20.927296,-0.42867407,7
5.4921603,-16.991543,5.1060586,7
3.1238325,-11.426123,-10.792608,8
31.948711,-14.655219,5.352999,8
31.948711,-14.655219,5.352999,8
2.6011865,-12.58694,-10.345128,8
31.948711,-14.655219,5.352999,8
-3.9565532,-8.123456,11.297119,9
17.796175,-16.407412,-9.871767,10
13.590754,-16.329489,-0.6093079,10
22.63834,-18.309076,-1.233962,10
22.44796,-12.468154,-6.6656284,10
22.245628,-15.067754,-6.294714,10
23.157845,-20.380339,-1.0376912,10
17.796175,-16.407412,-9.871767,10
20.878866,-19.891249,-1.2863393,10
7.8524613,-15.816327,0.17975374,10
25.64586,-6.764276,-8.538398,10
21.255898,-18.702873,-3.0467932,10
19.733099,-14.614905,4.092637,10
23.227272,-19.452303,-3.1356657,10
13.360986,-3.0704231,-18.601131,10
25.64586,-6.764276,-8.538398,10
21.471539,-12.940203,-7.469397,10
15.171173,12.582868,7.8344183,11
25.84791,19.375166,1.8595734,11
-13.41508,-7.736591,-15.70778,11
17.623863,12.825321,4.699348,11
9.916807,-21.289684,23.90436,11
-17.997568,-9.473497,-7.253619,11
8.57717,-12.880854,11.321373,11
-0.18608984,9.644068,16.356552,11
15.744613,12.671039,6.219322,11
5.2249923,7.7072096,7.315462,11
-9.335317,2.6245341,-4.510577,11
-12.414022,9.982182,-4.2515388,11
-6.514791,9.195473,-12.097417,11
13.197714,9.468935,15.408797,11
8.280165,10.071451,3.3761601,11
-1.5811163,11.370704,1.9848125,11
10.674215,20.830103,7.4498043,11
-5.8757234,13.411742,-22.54968,11
7.9412575,5.4952826,16.533148,11
1.7445322,16.352827,-5.69482,11
11.539706,13.878506,25.314024,11
-17.940605,14.597478,10.110956,11
-17.113707,-2.9578583,-16.139595,11
-14.766533,-12.7478895,-5.422494,11
3.8486817,7.196172,25.322994,11
-33.889996,-1.463078,-6.334208,11
16.082659,7.9566293,8.765109,11
-16.046173,-14.696389,-4.6785116,11
-6.8085985,4.412098,-5.8011355,11
16.912006,10.30523,9.7085495,11
18.283087,14.012967,10.616884,11
-16.050255,-9.767561,-7.6158,11
18.322763,14.963499,3.1797755,11
8.94188,1.1137742,22.239817,11
9.941376,13.232358,22.885178,11
-13.603563,10.674391,-3.9427562,11
11.167761,15.295272,20.12687,11
3.495631,10.918968,17.602869,11
0.70215905,9.416998,-1.380595,11
-18.93229,-11.575394,-4.840333,11
12.030163,3.6970625,11.370492,11
9.838195,13.703655,2.94738,11
20.356152,3.2666776,8.624833,11
7.9412575,5.4952826,16.533148,11
-8.303606,-1.3581567,-24.596848,11
3.286955,9.91754,18.437485,11
11.733363,-7.6546707,8.7281685,11
-16.46327,-10.981341,-4.752862,11
-17.679102,-13.144072,-3.1609192,11
4.078799,7.860378,8.898157,11
11.109036,21.950235,7.9760222,11
23.393145,9.961604,-0.46320602,11
-9.166854,16.35435,4.252013,11
-14.80721,30.095995,-7.3780727,11
8.691847,14.106982,21.74481,11
-14.128697,-3.4577682,-12.384795,11
-12.462179,-6.1003895,-26.236261,11
0.9543363,6.2517653,22.249893,11
2.434629,15.50001,22.336079,11
12.369911,10.593122,3.3985157,11
9.902289,15.112121,22.80441,11
4.1321826,6.735823,6.3184843,11
8.280165,10.071451,3.3761601,11
13.845644,17.007154,14.709678,11
14.997362,2.1060994,16.868996,11
-0.8425461,13.848439,18.292192,11
