,x,y,z,role
275,8.631027,-2.7272475,8.782844,IT & Data Management
276,8.631027,-2.7272475,8.782844,IT & Data Management
277,-27.260727,-11.388026,-1.3162851,Legal & Government Relations
278,-10.868247,-2.6264925,-28.729984,Legal & Government Relations
279,-20.170076,9.314547,-5.064172,Legal & Government Relations
280,6.133723,5.9885116,11.462281,Legal & Government Relations
281,6.1859665,6.4613566,12.574814,Legal & Government Relations
282,-2.0015466,0.8632608,-28.055653,Legal & Government Relations
283,6.9117794,3.427115,-10.710935,Legal & Government Relations
284,-12.89275,-5.804017,-25.838703,Legal & Government Relations
285,-8.097068,-8.316551,-26.564383,Legal & Government Relations
286,-9.424508,-1.3162346,-25.165157,Legal & Government Relations
287,-10.637815,-3.7882712,-27.884045,Legal & Government Relations
288,-27.260727,-11.388026,-1.3162851,Legal & Government Relations
289,-12.282967,-3.3220265,-25.763672,Legal & Government Relations
290,11.34446,6.1367044,-5.6561127,Legal & Government Relations
291,-4.882578,1.0215324,-24.137081,Legal & Government Relations
292,-7.333671,-1.2207481,-24.586082,Legal & Government Relations
293,-2.7746599,3.0345192,-20.924517,Legal & Government Relations
294,-2.6589909,-1.4769292,-23.333372,Legal & Government Relations
295,-5.781955,-1.0184447,-27.514055,Legal & Government Relations
296,-21.391462,9.495575,-4.6955447,Legal & Government Relations
297,5.6648326,-13.573675,-17.464907,Legal & Government Relations
298,-6.8217626,2.3367019,-24.75551,Legal & Government Relations
299,2.544826,-5.1999364,-23.73507,Legal & Government Relations
300,-2.8754416,-6.155693,-22.26573,Legal & Government Relations
301,10.645282,6.9463787,-6.2457185,Legal & Government Relations
302,-8.003938,-7.3258867,-25.821468,Legal & Government Relations
303,-9.722718,-6.3562093,-15.194526,Legal & Government Relations
304,-6.48284,-1.504045,-19.601803,Legal & Government Relations
305,-17.113733,8.912164,-5.05563,Legal & Government Relations
306,-7.6877007,-0.42246795,-19.289034,Legal & Government Relations
307,-8.987392,-3.2762878,-15.7589655,Legal & Government Relations
308,-4.9662333,0.66965806,-18.63575,Legal & Government Relations
309,-11.612432,-4.6205034,-25.718716,Legal & Government Relations
310,-1.2284056,0.46160316,-29.177214,Legal & Government Relations
311,-4.313339,0.41121796,-25.954145,Legal & Government Relations
312,-8.308123,-2.1978314,-16.731703,Legal & Government Relations
313,-25.695286,-2.6420925,3.2970893,Legal & Government Relations
314,-25.39259,-3.8234935,3.628991,Legal & Government Relations
315,1.2262872,11.428341,11.284324,Legal & Government Relations
316,-9.68001,-0.4547717,-24.272505,Legal & Government Relations
317,-3.4442365,2.5101433,-21.850527,Legal & Government Relations
318,20.575226,2.810103,-15.320351,Legal & Government Relations
319,-4.0209494,-3.3431535,-22.592083,Legal & Government Relations
320,-6.6368494,-0.15291722,-20.524176,Legal & Government Relations
321,-3.5054517,-6.280374,-23.276957,Legal & Government Relations
322,-8.184563,-2.0086794,-21.600607,Legal & Government Relations-Intern
323,24.79588,-12.586538,5.952524,Manufacturing & Supply Chain
324,24.504253,-13.230488,11.590364,Manufacturing & Supply Chain
325,7.6328635,-14.443824,10.126505,Manufacturing & Supply Chain
326,25.692371,-11.852243,3.6544964,Manufacturing & Supply Chain
327,21.417492,-16.444828,3.561524,Manufacturing & Supply Chain
328,22.929688,-14.065746,12.648229,Manufacturing & Supply Chain
329,24.489374,-11.522487,3.8134763,Manufacturing & Supply Chain
330,23.680773,-12.0322075,13.303809,Manufacturing & Supply Chain
331,28.09829,-7.5744767,-1.8901002,Manufacturing & Supply Chain
332,23.337767,-11.367784,11.471968,Manufacturing & Supply Chain
333,18.561605,-8.677828,13.260338,Manufacturing & Supply Chain
334,28.09829,-7.5744767,-1.8901002,Manufacturing & Supply Chain
335,21.417492,-16.444828,3.561524,Manufacturing & Supply Chain
336,13.664406,-13.906746,12.1922035,Manufacturing & Supply Chain
337,15.368913,-3.5408788,-0.09307591,Manufacturing & Supply Chain
338,22.655123,-13.248482,10.728195,Manufacturing & Supply Chain
339,8.803001,11.811941,4.2213287,Marketing & Communications
340,6.7948103,24.186394,5.441574,Marketing & Communications
341,-6.907917,-11.504094,-10.092715,Marketing & Communications
342,13.113171,16.854893,15.403752,Marketing & Communications
343,-9.764605,17.122454,-20.145014,Marketing & Communications
344,1.5321693,6.8624763,7.705741,Marketing & Communications
345,9.782185,16.336962,7.1765175,Marketing & Communications
346,10.307736,13.794951,5.1622243,Marketing & Communications
347,11.407854,13.508451,15.836244,Marketing & Communications
348,10.349311,16.320969,2.2885518,Marketing & Communications
349,-7.320814,8.324757,13.330614,Marketing & Communications
350,1.5746063,3.3436253,13.1574545,Marketing & Communications
351,13.486641,4.1154165,10.090153,Marketing & Communications
352,-25.921795,-14.693688,-17.699932,Marketing & Communications
353,8.893285,-17.95455,-20.089474,Marketing & Communications
354,11.58875,-5.3211193,18.5159,Marketing & Communications
355,24.641716,13.60457,3.311507,Marketing & Communications
356,13.851908,6.062531,8.21459,Marketing & Communications
357,17.28541,-3.2912428,10.173823,Marketing & Communications
358,-1.3417261,-10.702122,-11.279271,Marketing & Communications
359,-5.5388985,9.889446,10.863987,Marketing & Communications
360,25.137619,9.87931,-6.165853,Marketing & Communications
361,6.2164097,5.5450315,0.7514319,Marketing & Communications
362,-4.9617267,-1.2882698,-8.590844,Marketing & Communications
363,-9.941445,-9.40112,-9.24404,Marketing & Communications
364,-12.748061,-12.2363825,-7.601272,Marketing & Communications
365,6.067288,4.977465,-0.25077304,Marketing & Communications
366,-1.283667,13.243923,8.005791,Marketing & Communications
367,14.398773,10.141422,4.2296295,Marketing & Communications
368,11.171644,16.597977,15.201332,Marketing & Communications
369,-12.940937,10.68368,10.562652,Marketing & Communications
370,6.651039,11.719543,9.416365,Marketing & Communications
371,-7.248524,-3.412624,-7.3689528,Marketing & Communications
372,5.28701,-5.9891524,16.404081,Marketing & Communications
373,17.819437,22.857738,1.4111295,Marketing & Communications
374,-4.0159826,15.116022,6.8617673,Marketing & Communications
375,0.31997123,12.908253,-2.998821,Marketing & Communications
376,-10.184572,13.30145,9.90296,Marketing & Communications
377,0.44228196,11.601191,-8.074696,Marketing & Communications
378,-11.118547,-10.534286,-6.972736,Marketing & Communications
379,15.997412,-6.6379304,-2.092049,Marketing & Communications
380,2.4765077,16.342447,-11.332105,Marketing & Communications
381,-12.940937,10.68368,10.562652,Marketing & Communications
382,2.958072,18.675446,9.029572,Marketing & Communications
383,1.4503216,16.87414,22.309856,Marketing & Communications
384,-30.826437,12.41271,-0.567182,Marketing & Communications
385,-9.142834,11.415114,14.153396,Marketing & Communications
386,22.910631,15.559482,3.395414,Marketing & Communications
387,-0.53605336,6.6044703,13.02955,Marketing & Communications
388,8.51699,-13.048285,-9.8755045,Marketing & Communications
389,0.2729083,0.7187682,10.954579,Marketing & Communications
390,-9.861507,-13.385181,-9.355294,Marketing & Communications
391,1.5321693,6.8624763,7.705741,Marketing & Communications
